Symbol,B,CH,D,DH,F,G,HH,JH,K,L,M,N,NG,P,R,S,SH,T,TH,V,W,Y,Z,ZH
B,0,2.42,1.08,1.54,1.74,1.66,3.06,1.42,2.66,1.88,1,1.58,2.16,1,1.88,2.48,2.62,2.08,2.54,0.74,1.3,2.32,1.48,1.62
CH,2.42,0,1.34,1.68,1.48,1.64,2.64,1,0.64,2.74,3.42,2.84,3.14,1.42,1.74,0.34,0.2,0.34,0.68,2.48,2.32,1.9,1.34,1.2
D,1.08,1.34,0,0.74,2.54,0.58,2.98,0.34,1.58,1.8,2.08,1.5,2.08,2.08,0.8,1.4,1.54,1,1.74,1.54,1.38,1.24,0.4,0.54
DH,1.54,1.68,0.74,0,1.8,1.32,2.52,0.68,2.32,1.34,2.54,2.24,2.82,2.54,0.34,1.34,1.48,1.74,1,0.8,0.64,0.78,0.34,0.48
F,1.74,1.48,2.54,1.8,0,3.12,2.32,2.48,2.12,2.14,2.74,3.04,3.62,0.74,2.14,1.14,1.28,1.54,0.8,1,1.84,2.58,2.14,2.28
G,1.66,1.64,0.58,1.32,3.12,0,2.4,0.64,1,2.38,2.66,2.08,1.5,2.66,1.38,1.98,1.84,1.58,2.32,2.12,1.96,0.94,0.98,0.84
HH,2.56,2.14,2.48,2.02,1.82,1.9,0,2.14,1.9,2.08,3.56,2.98,2.4,2.56,2.08,2.08,1.94,2.48,2.02,1.82,2.66,1.64,2.08,1.94
JH,1.42,1,0.34,0.68,2.48,0.64,2.64,0,1.64,1.74,2.42,1.84,2.14,2.42,0.74,1.34,1.2,1.34,1.68,1.48,1.32,0.9,0.34,0.2
K,2.66,0.64,1.58,2.32,2.12,1,2.4,1.64,0,3.38,3.66,3.08,2.5,1.66,2.38,0.98,0.84,0.58,1.32,3.12,2.96,1.94,1.98,1.84
L,1.88,2.74,1.8,1.34,2.14,2.38,2.58,1.74,3.38,0,2.88,2.3,2.88,2.88,1,2.4,2.54,2.8,2.34,1.14,1.58,1.44,1.4,1.54
M,1,3.42,2.08,2.54,2.74,2.66,4.06,2.42,3.66,2.88,0,0.58,1.16,2,2.88,3.48,3.62,3.08,3.54,1.74,2.3,3.32,2.48,2.62
N,1.58,2.84,1.5,2.24,3.04,2.08,3.48,1.84,3.08,2.3,0.58,0,0.58,2.58,2.3,2.9,3.04,2.5,3.24,2.04,2.88,2.74,1.9,2.04
NG,2.16,3.14,2.08,2.82,3.62,1.5,2.9,2.14,2.5,2.88,1.16,0.58,0,3.16,2.88,3.48,3.34,3.08,3.82,2.62,3.46,2.44,2.48,2.34
P,1,1.42,2.08,2.54,0.74,2.66,3.06,2.42,1.66,2.88,2,2.58,3.16,0,2.88,1.48,1.62,1.08,1.54,1.74,2.3,3.32,2.48,2.62
R,1.88,1.74,0.8,0.34,2.14,1.38,2.58,0.74,2.38,1,2.88,2.3,2.88,2.88,0,1.4,1.54,1.8,1.34,1.14,0.58,0.44,0.4,0.54
S,2.48,0.34,1.4,1.34,1.14,1.98,2.58,1.34,0.98,2.4,3.48,2.9,3.48,1.48,1.4,0,0.14,0.4,0.34,2.14,1.98,1.84,1,1.14
SH,2.62,0.2,1.54,1.48,1.28,1.84,2.44,1.2,0.84,2.54,3.62,3.04,3.34,1.62,1.54,0.14,0,0.54,0.48,2.28,2.12,1.7,1.14,1
T,2.08,0.34,1,1.74,1.54,1.58,2.98,1.34,0.58,2.8,3.08,2.5,3.08,1.08,1.8,0.4,0.54,0,0.74,2.54,2.38,2.24,1.4,1.54
TH,2.54,0.68,1.74,1,0.8,2.32,2.52,1.68,1.32,2.34,3.54,3.24,3.82,1.54,1.34,0.34,0.48,0.74,0,1.8,1.64,1.78,1.34,1.48
V,0.74,2.48,1.54,0.8,1,2.12,2.32,1.48,3.12,1.14,1.74,2.04,2.62,1.74,1.14,2.14,2.28,2.54,1.8,0,0.84,1.58,1.14,1.28
W,1.3,2.32,1.38,0.64,1.84,1.96,3.16,1.32,2.96,1.58,2.3,2.88,3.46,2.3,0.58,1.98,2.12,2.38,1.64,0.84,0,1.02,0.98,1.12
Y,2.32,1.9,1.24,0.78,2.58,0.94,2.14,0.9,1.94,1.44,3.32,2.74,2.44,3.32,0.44,1.84,1.7,2.24,1.78,1.58,1.02,0,0.84,0.7
Z,1.48,1.34,0.4,0.34,2.14,0.98,2.58,0.34,1.98,1.4,2.48,1.9,2.48,2.48,0.4,1,1.14,1.4,1.34,1.14,0.98,0.84,0,0.14
ZH,1.62,1.2,0.54,0.48,2.28,0.84,2.44,0.2,1.84,1.54,2.62,2.04,2.34,2.62,0.54,1.14,1,1.54,1.48,1.28,1.12,0.7,0.14,0
,Manner,Voicing,Oral Nasal,cl,Place,,,,,,,,,,,,,,,,,,,
B,4,2,0,1,0,,Approximant 0,,,,,,,violet,,,,,,,,,,
CH,3,0,0,0,4,,Fricative 1,,,,,,,blue,,,,,,,,,,
D,4,2,0,0,3,,Sibilant 2,,,,,,,green
DH,1,2,0,0,2,,Affricate 3,,,,,,,yellow
F,1,0,0,1,1,,Occlusive 4,,,,,,,orange
G,4,2,0,0,6,,,,,,,,,red
HH,1,1,0,1,7,,Voiceless 0,,,,,,,black
JH,3,2,0,0,4,,Murmured 1,,,,,,,white
K,4,0,0,0,6,,Voiced 2,,,,,,,
L,0,2,0,2,3,,,,,,,,,
M,4,2,1,1,0,,Oral 0,,,,,,,
N,4,2,1,1,3,,Nasal 1,,,,,,,
NG,4,2,1,1,6,,,,,,,,,
P,4,0,0,1,0,,central 0,,,,,,,
R,0,2,0,0,3,,/cl 1,,,,,,,
S,2,0,0,0,3,,lateral 2,,,,,,,
SH,2,0,0,0,4,,,,,,,,,
T,4,0,0,0,3,,,,,,,,,
TH,1,0,0,0,2
V,1,2,0,1,1
W,0,2,0,0,0
Y,0,2,0,0,5
Z,2,2,0,0,3
ZH,2,2,0,0,4
,Manner,Voicing,Place,,
,Nasal,cl,,,Approximant Lateral 0
B,5,2,0,,Approximant 1
CH,4,0,4,,Fricative 2
D,5,2,3,,Sibilant 3
DH,2,2,2,,Affricate 4
F,2,0,1,,Occlusive 5
G,5,2,6,,
HH,2,1,7,,
JH,4,2,4,,Voiceless 0
K,5,0,6,,Murmured 1
L,0,2,3,,Voiced 2
M,5,3,0,,Voiced Nasal 3
N,5,3,3,,
NG,5,3,6,,Bilabial 0
P,5,0,0,,Labiodental 1
R,1,2,3,,Dental 2
S,3,0,3,,Alveolar 3
SH,3,0,4,,Palatoalveolar 4
T,5,0,3,,Palatal 5
TH,1,0,2,,Velar 6
V,1,2,1,,Glottal 7
W,0,2,0,,
Y,0,2,5,,
Z,2,2,3,,
ZH,2,2,4
